2025-06-17 16:38:22 info: 数据库连接成功
2025-06-17 16:38:22 info: 服务器运行在 http://localhost:3000
2025-06-17 16:38:22 info: 环境: development
2025-06-17 16:38:50 info: GET /api/v1/status
2025-06-17 16:38:50 info: GET /api/v1/articles/headlines?limit=5
2025-06-17 16:38:50 info: GET /api/v1/categories/hot
2025-06-17 16:38:50 info: GET /api/v1/articles?page=1&limit=10&sort=publish_time&order=desc
2025-06-17 16:38:50 info: GET /api/v1/articles?page=1&limit=10&sort=publish_time&order=desc
2025-06-17 16:38:53 info: GET /api/v1/categories
2025-06-17 16:38:53 info: GET /api/v1/articles/categories/count
2025-06-17 16:38:53 info: GET /api/v1/categories/hot
2025-06-17 16:38:54 info: GET /api/v1/categories
2025-06-17 16:38:57 info: GET /api/v1/articles?page=2&limit=10&sort=publish_time&order=desc
2025-06-17 16:40:07 info: GET /api/v1/status
2025-06-17 16:40:08 info: GET /api/v1/categories/hot
2025-06-17 16:40:08 info: GET /api/v1/articles/headlines?limit=5
2025-06-17 16:40:08 info: GET /api/v1/articles?page=1&limit=10&sort=publish_time&order=desc
2025-06-17 16:40:08 info: GET /api/v1/articles?page=1&limit=10&sort=publish_time&order=desc
2025-06-17 16:40:16 info: POST /api/v1/users/login
2025-06-17 16:40:17 info: GET /api/v1/users/profile
2025-06-17 16:40:17 info: GET /api/v1/users/stats
2025-06-17 16:40:20 info: GET /api/v1/categories
2025-06-17 16:40:20 info: GET /api/v1/categories/hot
2025-06-17 16:40:20 info: GET /api/v1/articles/categories/count
2025-06-17 16:40:21 info: GET /api/v1/categories
2025-06-17 16:40:21 info: GET /api/v1/favorites?page=1&limit=10
2025-06-17 16:40:21 info: GET /api/v1/favorites?page=1&limit=10
2025-06-17 16:40:22 info: GET /api/v1/users/profile
2025-06-17 16:40:22 info: GET /api/v1/users/stats
2025-06-17 16:40:27 info: GET /api/v1/articles/12
2025-06-17 16:40:27 info: GET /api/v1/favorites/check/12
2025-06-17 16:40:27 info: GET /api/v1/articles/12/like/check
2025-06-17 16:40:27 info: GET /api/v1/articles/random?exclude_id=12&limit=5
2025-06-17 16:40:29 info: POST /api/v1/history
2025-06-17 16:40:30 info: GET /api/v1/users/profile
2025-06-17 16:40:30 info: GET /api/v1/users/stats
2025-06-17 16:40:31 info: GET /api/v1/users/profile
2025-06-17 16:40:31 info: GET /api/v1/users/stats
2025-06-17 16:40:33 info: GET /api/v1/history?page=1&limit=20
2025-06-17 16:40:35 info: GET /api/v1/users/profile
2025-06-17 16:40:35 info: GET /api/v1/users/stats
2025-06-17 16:40:38 info: GET /api/v1/articles/10
2025-06-17 16:40:38 info: GET /api/v1/favorites/check/10
2025-06-17 16:40:38 info: GET /api/v1/articles/10/like/check
2025-06-17 16:40:38 info: GET /api/v1/articles/random?exclude_id=10&limit=5
2025-06-17 16:40:39 info: POST /api/v1/favorites
2025-06-17 16:40:40 info: GET /api/v1/articles/10/comments
2025-06-17 16:40:42 info: POST /api/v1/comments
2025-06-17 16:40:42 info: GET /api/v1/articles/10/comments
2025-06-17 16:40:44 info: GET /api/v1/articles/random?exclude_ids=10%2C12%2C20%2C16%2C3%2C8&limit=5
2025-06-17 16:40:46 info: POST /api/v1/history
2025-06-17 16:40:47 info: GET /api/v1/users/profile
2025-06-17 16:40:47 info: GET /api/v1/users/stats
2025-06-17 16:40:49 info: GET /api/v1/history?page=1&limit=20
2025-06-17 16:40:50 info: GET /api/v1/users/profile
2025-06-17 16:40:50 info: GET /api/v1/users/stats
2025-06-17 16:43:23 info: 数据库连接成功
2025-06-17 16:43:23 info: 服务器运行在 http://localhost:3000
2025-06-17 16:43:23 info: 环境: development
2025-06-17 16:43:32 info: GET /api/v1/users/profile
2025-06-17 16:43:32 info: GET /api/v1/users/profile
2025-06-17 16:43:32 info: GET /api/v1/users/stats
2025-06-17 16:43:32 info: GET /api/v1/users/stats
2025-06-17 16:43:35 info: GET /api/v1/articles/headlines?limit=5
2025-06-17 16:43:35 info: GET /api/v1/articles?page=1&limit=10&sort=publish_time&order=desc
